PLANT_NAME,PLANT_DESIGN_CAPACITY_MWE,PLANT_COUNTRY,PLANT_STATE,TYPE,PLANT_OVERALL_RATING,PLANT_LATITUDE,PLANT_LONGITUDE,geopoint,PLANT_TYPE_OF_PLANT,PLANT_USED_FOR,PLANT_URL,PLANT_LOCATION,TOPIC,,TYPE_URL
Ralco Hydroelectric Power Plant Chile,690,Chile,VIII Region del Bio - Bio,HYDRO,Environmentally Responsible,-37.9992,-71.5196,"-37.9992, -71.5196",Dam on river with reservoir,Base/Intermediate Load,http://www.globalenergyobservatory.org/geoid/44569,"VIII Region del Bio - Bio, Chile",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Peuchen Hydroelectric Power Plant Chile,85,Chile,VIII Region del Bio - Bio,HYDRO,Environmentally Responsible,-37.5412,-71.5963,"-37.5412, -71.5963",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/44689,"Santa Barbara district, VIII Region del Bio - Bio, Chile",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Central Hidroelectrica Rio Laja Chile,34.4,Chile,VIII Region del Bio - Bio,HYDRO,Environmentally Responsible,-37.24417,-72.52976,"-37.24417, -72.52976",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/45612,"VIII Region del Bio - Bio, Chile",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Pilmaiquen Hydroelectric Power Plant Chile,40.8,Chile,X Region de los Lagos,HYDRO,Environmentally Responsible,-40.638,-72.6496,"-40.638, -72.6496",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/44701,"X Region de los Lagos, Chile",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Gaobazhou Hydroelectric Power Plant China,360,China,Hubei,HYDRO,Environmentally Responsible,30.3981,111.3412,"30.3981, 111.3412",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/44147,"Yidu City, Zhicheng, Hubei Province, China",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Pankou Hydroelectric Power Plant China,513,China,Hubei,HYDRO,Environmentally Responsible,32.2127,110.1575,"32.2127, 110.1575",Dam on river with reservoir,Peaking Load,http://www.globalenergyobservatory.org/geoid/44151,"Pankou Town, Zhushan County, Shiyan City, Hubei, China",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Hongshi Dam Hydroelectric Power Plant China,200,China,Jilin,HYDRO,Environmentally Responsible,42.9495,127.1313,"42.9495, 127.1313",Dam on river with reservoir,Intermediate/Peak Load,http://www.globalenergyobservatory.org/geoid/46228,"Hongshi, Huadian, Jilin Province, China",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Tianhuangping Pumped Storage Power Plant China,1800,China,Zhejiang,HYDRO,Environmentally Responsible,30.4703,119.605833,"30.4703, 119.605833",Pumped Storage Power Plant,Peaking Load,http://www.globalenergyobservatory.org/geoid/44149,"Tainhuangping, Anji County of Zhejiang Province, China",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Miel I (Patangoras) Hydroelectric Power Plant Colombia,396,Colombia,Caldas,HYDRO,Environmentally Responsible,5.56055,-74.8866,"5.56055, -74.8866",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/43432,"Norcasia, Caldas, Colombia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
San Francisco Hydroelectric Power Plant Colombia,135,Colombia,Caldas,HYDRO,Environmentally Responsible,5.04993,-75.74298,"5.04993, -75.74298",Dam on river with reservoir,Peaking Load,http://www.globalenergyobservatory.org/geoid/43472,"Caldas, Colombia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Alto Anchicaya Hydroelectric Power Plant Colombia,365,Colombia,Valle del Cauca,HYDRO,Environmentally Responsible,3.5333,-76.8675,"3.5333, -76.8675",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/42249,"Valle del Cauca, Columbia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Alberto Echandi Hydroelectric Station Costa Rica,4.7,Costa Rica,Alajuela,HYDRO,Environmentally Responsible,10.391583,-84.4382721,"10.391583, -84.4382721",,,http://www.globalenergyobservatory.org/geoid/2032,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Penas Blancas Hydroelectric Power Plant Costa Rica,38,Costa Rica,Alajuela,HYDRO,Environmentally Responsible,10.391583,-84.4382721,"10.391583, -84.4382721",,,http://www.globalenergyobservatory.org/geoid/4737,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Toro II Hydroelectric Power Station Costa Rica,65.2,Costa Rica,Alajuela,HYDRO,Environmentally Responsible,10.222,-84.3058,"10.222, -84.3058",,,http://www.globalenergyobservatory.org/geoid/5750,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Avance,,Costa Rica,Cartago,HYDRO,Environmentally Responsible,9.7539596,-83.6773928,"9.7539596, -83.6773928",,,http://www.globalenergyobservatory.org/geoid/2206,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Birris #2,,Costa Rica,Cartago,HYDRO,Environmentally Responsible,9.7539596,-83.6773928,"9.7539596, -83.6773928",,,http://www.globalenergyobservatory.org/geoid/2353,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Rio Macho Hydroelectic Power Plant Costa Rica,120,Costa Rica,Cartago,HYDRO,Environmentally Responsible,9.7757,-83.8414,"9.7757, -83.8414",Dam with run-of-river generation,Base/Intermediate Load,http://www.globalenergyobservatory.org/geoid/5101,"Valle de Orosi, Paraiso, Cartago, Costa Rica",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Corobici (Miguel Pablo Dengo) Hydroelectric Power Plant Costa Rica,180,Costa Rica,Guanacaste,HYDRO,Environmentally Responsible,10.4695,-85.0763,"10.4695, -85.0763",Water discharged from another project,Intermediate/Peak Load,http://www.globalenergyobservatory.org/geoid/2776,"Canas, Guanacaste Costa Rica",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Brasil,,Costa Rica,San Jose,HYDRO,Environmentally Responsible,9.9402023,-84.1001885,"9.9402023, -84.1001885",,,http://www.globalenergyobservatory.org/geoid/2422,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Gojak Hydroelectric Power Plant Croatia Croatia,55.5,Croatia,Karlovacka,HYDRO,Environmentally Responsible,45.2989,15.2633,"45.2989, 15.2633",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/44844,"near Ogulin, Karlovac County, Croatia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Lesce Hydroelectric Power Plant Croatia Croatia,42.3,Croatia,Karlovacka,HYDRO,Environmentally Responsible,45.3485,15.3452,"45.3485, 15.3452",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/44846,"Lesce, Karlovacka, Croatia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Cakovec Hydroelectric Power Plant Croatia Croatia,76,Croatia,Medimurska,HYDRO,Environmentally Responsible,46.3113,16.4945,"46.3113, 16.4945",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/44829,"Orehovica, Ulica Nikole Tesle 31, Medimurska, Croatia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Vinodol Hydroelectric Power System Croatia Croatia,90,Croatia,Primorsko-Goranska,HYDRO,Environmentally Responsible,45.2286,14.6736,"45.2286, 14.6736",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/44841,"Primorsko-Goranska, Croatia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Orlovac Hydroelectric Power Plant Croatia,237,Croatia,Splitsko-Dalmatinska,HYDRO,Environmentally Responsible,43.6737,16.784,"43.6737, 16.784",Dam on a lake,Peaking Load,http://www.globalenergyobservatory.org/geoid/44834,"Sinj, Splitsko-Dalmatinska, Croatia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Slapy Hydroelectric Power Plant Czech Republic,144,Czech Republic,Stredocesky,HYDRO,Environmentally Responsible,49.82354,14.434501,"49.82354, 14.434501",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/42359,"Slapy, Stredocesky, Czech Republic",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Zongo Hydroelectric Power Plant Democratic Republic of the Congo,75,Democratic Republic of the Congo,Bas-Congo,HYDRO,Environmentally Responsible,-4.7779,14.9059,"-4.7779, 14.9059",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/42631,"Near Kinshasa, Bas-Congo, Democratic Republic of the Congo",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Nseke Hydroelectric Power Plant Democratic Republic of the Congo,260,Democratic Republic of the Congo,Katanga,HYDRO,Environmentally Responsible,-10.30442,25.40678,"-10.30442, 25.40678",Dam on river with reservoir,Base Load,http://www.globalenergyobservatory.org/geoid/42627,"North of Kolwezi, Katanga, Democratic Republic of the Congo",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Ruzizi I Hydroelectric Power Plant Democratic Republic of the Congo,29.2,Democratic Republic of the Congo,Sud-Kivu,HYDRO,Environmentally Responsible,-2.509005,28.87528,"-2.509005, 28.87528",Dam on a lake,Base Load,http://www.globalenergyobservatory.org/geoid/42604,"Bukavu, South end of Lake Kivu, Sud-Kivu, Democratic Republic of the Congo",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Ruzizi II Hydroelectric Power Plant Democratic Republic of the Congo,42,Democratic Republic of the Congo,Sud-Kivu,HYDRO,Environmentally Responsible,-2.63344,28.90266,"-2.63344, 28.90266",Dam with run-of-river generation,Base Load,http://www.globalenergyobservatory.org/geoid/42605,"Bukavu, South end of Lake Kivu, Sud-Kivu, Democratic Republic of the Congo",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Aswan High Dam Hydroelectric Power Plant Egypt,2100,Egypt,Aswan,HYDRO,Environmentally Responsible,23.97211,32.88285,"23.97211, 32.88285",Dam on river with reservoir,Seasonal: Base,http://www.globalenergyobservatory.org/geoid/3540,"13 km south of Aswan, Egypt",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Esna (Isna) Hydroelectric Power Plant Egypt,86,Egypt,Qina,HYDRO,Environmentally Responsible,25.3177,32.5544,"25.3177, 32.5544",Dam with run-of-river generation,Seasonal: Base,http://www.globalenergyobservatory.org/geoid/3102,"Esna, Qina, Egypt",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
New Naga Hamadi Hydroelectric Station Egypt,64,Egypt,Qina,HYDRO,Environmentally Responsible,26.15220217,32.14530945,"26.1522021702, 32.1453094482",Barrage with run-of-river Generation,,http://www.globalenergyobservatory.org/geoid/4476,"Nag Hammadi, 58 km W of Qina, Egypt",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Tis Abay I Hydroelectric Power Plant Ethiopia,11.4,Ethiopia,Amhara,HYDRO,Environmentally Responsible,11.48557609,37.58978605,"11.4855760897, 37.5897860527",Weir on a River,Base Load,http://www.globalenergyobservatory.org/geoid/40406,"Chara Chara, Amhara, Ethiopia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Tana Beles Hydroelectric Power Plant Ethiopia,460,Ethiopia,Amhara,HYDRO,Environmentally Responsible,11.8196,36.9181,"11.8196, 36.9181",Dam on a lake,Base Load,http://www.globalenergyobservatory.org/geoid/42509,"Tana Lake, Amhara, Ethiopia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Oraison Hydroelectric Power Station France,195,France,Alpes-de-Haute-Provence,HYDRO,Environmentally Responsible,43.921,5.925,"43.921, 5.925",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/39706,"Durance, Alpes-de-Haute-Provence, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Largue Hydroelectric Power Station France,12,France,Alpes-de-Haute-Provence,HYDRO,Environmentally Responsible,43.854,5.859,"43.854, 5.859",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/39708,"Manosque, Alpes-de-Haute-Provence, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Quinson Hydroelectric Power Station France,41,France,Alpes-de-Haute-Provence,HYDRO,Environmentally Responsible,43.699,6.051,"43.699, 6.051",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/39711,"Quinson, Alpes-de-Haute-Provence, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Saint Dalmas Hydroelectric Power Station France,50,France,Alpes-Maritimes,HYDRO,Environmentally Responsible,44.047,7.586,"44.047, 7.586",Dam on a lake,,http://www.globalenergyobservatory.org/geoid/39703,"Saint Dalmas, Alpes-Maritimes, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Revin Pump Storage Hydroelectric Power Station France,800,France,Ardennes,HYDRO,Environmentally Responsible,49.92537,4.614,"49.92537, 4.614",Pumped Storage Power Plant,Peaking Load and Backup,http://www.globalenergyobservatory.org/geoid/45157,"Revin, Ardennes, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Aston Hydroelectric Power Station France,116,France,Ariege,HYDRO,Environmentally Responsible,42.777,1.677,"42.777, 1.677",Dam on a lake,,http://www.globalenergyobservatory.org/geoid/39716,"Ax les Thermes, Arige, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Truel Hydroelectric Power Station France,27,France,Aveyron,HYDRO,Environmentally Responsible,44.06,2.769,"44.06, 2.769",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/39724,"Le Truel, Aveyron, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Gerstheim Hydroelectric Power Station France,141,France,Bas-Rhin,HYDRO,Environmentally Responsible,48.404,7.728,"48.404, 7.728",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/39807,"Erstein, Bas-Rhin, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Rhinau Hydroelectric Power Station France,152,France,Bas-Rhin,HYDRO,Environmentally Responsible,48.284,7.678,"48.284, 7.678",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/39809,"Rhinau, Bas-Rhin, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Gambsheim Hydroelectric Power Station France,108,France,Bas-Rhin,HYDRO,Environmentally Responsible,48.682,7.919,"48.682, 7.919",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/39810,"Strasbourg, Bas-Rhin, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
L'Aigle Hydroelectric Generating Station France,360,France,Cantal,HYDRO,Environmentally Responsible,45.24343974,2.224774361,"45.243439744, 2.22477436066",,,http://www.globalenergyobservatory.org/geoid/3929,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Auzerette Hydroelectric Power Station France,29,France,Cantal,HYDRO,Environmentally Responsible,45.365,2.646,"45.365, 2.646",Dam on a lake,,http://www.globalenergyobservatory.org/geoid/39740,"Bort les Orgues, Cantal, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Rhue (La) Hydroelectric Power Station France,12,France,Cantal,HYDRO,Environmentally Responsible,45.415,2.499,"45.415, 2.499",Dam on a lake,,http://www.globalenergyobservatory.org/geoid/39741,"Bort les Orgues, Cantal, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Enchanet Hydroelectric Power Station France,35,France,Cantal,HYDRO,Environmentally Responsible,45.082,2.194,"45.082, 2.194",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/39742,"Mauriac, Cantal, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Bort-les-Orgues Hydroelectric Generating Station France,216,France,Correze,HYDRO,Environmentally Responsible,45.41297268,2.497801781,"45.4129726814, 2.4978017807",,,http://www.globalenergyobservatory.org/geoid/2402,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Argentat Hydroelectric Power Station France,48,France,Correze,HYDRO,Environmentally Responsible,45.104,1.954,"45.104, 1.954",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/39745,"Argentat, Correze, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Gour Noir (Le) Hydroelectric Power Station France,40,France,Correze,HYDRO,Environmentally Responsible,45.071,2.067,"45.071, 2.067",Dam on a lake,,http://www.globalenergyobservatory.org/geoid/39747,"Argentat, Correze, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Val Beynette Hydroelectric Power Station France,30,France,Correze,HYDRO,Environmentally Responsible,45.416,2.372,"45.416, 2.372",Dam on a lake,,http://www.globalenergyobservatory.org/geoid/39750,"Bort les Orgues, Correze, France",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
